X,Y,Z
0.0,3.125,-7.8125
0.0,3.125,-7.8125
0.9375,3.125,-7.5
1.25,3.4375,-7.1875
1.25,3.125,-6.5625
1.5625,3.4375,-6.25
2.1875,3.125,-6.25
2.1875,2.8125,-5.625
3.125,2.8125,-5.625
3.125,2.8125,-5.3125
3.4375,2.8125,-4.6875
4.0625,2.5,-4.6875
4.0625,2.5,-4.6875
4.6875,1.875,-4.0625
4.6875,1.875,-4.0625
4.6875,1.5625,-3.4375
5.3125,1.25,-3.4375
5.0,0.625,-2.8125
5.625,0.3125,-2.8125
5.625,0.0,-2.1875
5.3125,-0.625,-1.875
5.9375,-0.9375,-1.875
5.9375,-1.25,-1.25
5.625,-1.875,-0.9375
6.25,-2.1875,-0.9375
5.9375,-2.8125,-0.3125
5.9375,-2.8125,-0.3125
5.625,-3.4375,0.0
5.9375,-4.375,0.3125
5.9375,-4.375,0.3125
5.625,-5.0,0.9375
5.625,-5.3125,1.5625
5.625,-5.3125,1.5625
5.3125,-5.9375,1.875
5.3125,-5.9375,2.1875
5.0,-6.5625,2.5
5.0,-6.5625,2.5
4.375,-6.5625,3.4375
4.0625,-6.875,3.125
4.0625,-7.1875,3.75
3.4375,-6.875,4.0625
3.4375,-6.875,4.0625
2.8125,-6.5625,4.375
2.8125,-6.875,5.0
2.1875,-6.5625,5.3125
1.875,-5.9375,5.625
1.875,-5.9375,5.625
1.25,-5.625,5.9375
0.9375,-5.0,6.25
